time_h,Gas_profileA,Gas_profileB
1:00,1,0.1
1:05,1,0.1
1:10,1,0.1
1:15,1,0.1
1:20,1,0.1
1:25,1,0.1
1:30,1,0.1
1:35,1,0.1
1:40,1,0.1
1:45,1,0.1
1:50,1,0.1
1:55,1,0.1
2:00,1,0.1
2:05,1,0.1
2:10,1,0.1
2:15,1,0.1
2:20,1,0.1
2:25,1,0.1
2:30,1,0.1
2:35,1,0.1
2:40,1,0.1
2:45,1,0.1
2:50,1,0.1
2:55,1,0.1
3:00,1,0.1
3:05,1,0.28
3:10,1,0.46
3:15,1,0.64
3:20,1,0.82
3:25,1,1
3:30,1,1
3:35,1,1
3:40,1,1
3:45,1,1
3:50,1,1
3:55,1,1
4:00,1,1
4:05,1,1
4:10,1,1
4:15,1,1
4:20,1,1
4:25,1,1
4:30,1,1
4:35,1,1
4:40,1,1
4:45,1,1
4:50,1,1
4:55,1,1
5:00,1,1
5:05,1,1
5:10,1,1
5:15,1,1
5:20,1,1
5:25,1,1
5:30,1,1
5:35,1,1
5:40,1,1
5:45,1,1
5:50,1,1
5:55,1,1
